Location,Region,Coordinates(links to map & photo sources),Population,Elevation
Huarancante,Arequipa,15°46′05″S 71°27′35″W﻿ / ﻿15.76806°S 71.45972°W,4638,4571
Huaraz,Ancash,9°32′00″S 77°32′00″W﻿ / ﻿9.53333°S 77.53333°W,86934,2829
Huarichancara,Arequipa,15°38′23″S 71°03′40″W﻿ / ﻿15.63972°S 71.06111°W,4445,4264
Huarmey,Ancash,10°04′05″S 78°09′08″W﻿ / ﻿10.06806°S 78.15222°W,16172,105
Huasahuasi,Junín,11°19′00″S 75°37′00″W﻿ / ﻿11.31667°S 75.61667°W,5146,2447
Huaura,Lima,11°04′12″S 77°35′58″W﻿ / ﻿11.07°S 77.59944°W,20723,42
Huayna Alcalde,Cusco,14°15′55″S 71°04′54″W﻿ / ﻿14.26528°S 71.08167°W,4298,4267
Huayucachi,Junín,12°08′00″S 75°14′00″W﻿ / ﻿12.13333°S 75.23333°W,5827,3121
Huicungo,San Martín,7°17′00″S 76°48′00″W﻿ / ﻿7.28333°S 76.8°W,6757,345
Iberia,Madre de Dios,11°21′00″S 69°35′00″W﻿ / ﻿11.35°S 69.58333°W,4386,236
Ica,Ica,14°03′55″S 75°43′51″W﻿ / ﻿14.06528°S 75.73083°W,246844,423
Ilabaya,Tacna,17°25′15″S 70°30′48″W﻿ / ﻿17.42083°S 70.51333°W,9492,1482
Ilave,Puno,16°05′00″S 69°40′00″W﻿ / ﻿16.08333°S 69.66667°W,16033,3844
Ilo,Moquegua,17°38′22″S 71°20′15″W﻿ / ﻿17.63944°S 71.3375°W,53476,117
Imperial,Lima,13°03′33″S 76°21′10″W﻿ / ﻿13.05927°S 76.35269°W,32344,100
Independencia,Lima,11°59′24″S 77°02′45″W﻿ / ﻿11.99°S 77.04583°W,3987,390
Iquitos,Loreto,3°44′53″S 73°14′50″W﻿ / ﻿3.74806°S 73.24722°W,437620,107
Jaén,Cajamarca,5°42′29″S 78°48′17″W﻿ / ﻿5.70806°S 78.80472°W,52493,840
Jatun Orcochiri,Arequipa,15°45′00″S 71°20′48″W﻿ / ﻿15.75°S 71.34667°W,4358,4258
Jauja,Junín,11°46′33″S 75°29′48″W﻿ / ﻿11.77584°S 75.49656°W,21057,3769
Jayanca,Lambayeque,6°23′27″S 79°49′19″W﻿ / ﻿6.39083°S 79.82194°W,6126,116
Jayobamba,Cusco,14°05′39″S 71°20′19″W﻿ / ﻿14.09417°S 71.33861°W,3593,3687
Jayune,Arequipa,15°33′48″S 71°18′11″W﻿ / ﻿15.56333°S 71.30306°W,4256,4459
Jepelacio,San Martín,6°07′00″S 76°57′00″W﻿ / ﻿6.11667°S 76.95°W,7150,852
Juanjuí,San Martín,7°10′40″S 76°43′53″W﻿ / ﻿7.17785°S 76.73135°W,37715,303
Juli,Puno,16°13′00″S 69°27′00″W﻿ / ﻿16.21667°S 69.45°W,7309,4102
Juliaca,Puno,15°30′00″S 70°08′00″W﻿ / ﻿15.5°S 70.13333°W,245675,3894
Junín,Junín,11°09′32″S 75°59′35″W﻿ / ﻿11.15889°S 75.99306°W,15320,3999
La Breita,Piura,4°15′39″S 80°53′15″W﻿ / ﻿4.26083°S 80.8875°W,17693,291
La Huaca,Piura,4°54′42″S 80°57′36″W﻿ / ﻿4.91167°S 80.96°W,8468,24
