Name,Mark,System,From,To,Successor,Notes
Virginia and North Carolina Railroad,,SOU,1872,1873,"Washington City, Virginia Midland and Great Southern Railway",
"Washington, Alexandria and Georgetown Railroad",,RF&P,1862,1868,Alexandria and Washington Railroad,
Washington City and Point Lookout Railroad,,B&O,1873,1874,Baltimore and Ohio Railroad,
"Washington City, Virginia Midland and Great Southern Railway",,SOU,1873,1880,Virginia Midland Railway,
Washington and Potomac Railroad,,,1886,1900,"Washington, Potomac and Chesapeake Railroad",
"Washington, Potomac and Chesapeake Railroad",,,1901,1910,"Washington, Potomac and Chesapeake Railway",
"Washington, Potomac and Chesapeake Railway",,,1910,1918,Chesapeake Beach Railway,
Washington Southern Railway,WSN,RF&P,1901,1920,"Richmond, Fredericksburg and Potomac Railroad",
Washington Terminal Company,WATC,B&O/ PRR,1901,,,Still exists as a subsidiary of the National Railroad Passenger Corporation (Amtrak)
Washington and Western Maryland Railroad,,B&O,1889,1985,N/A,
