Name,Mark,System,From,To,Successor,Notes,Unused_1,Dummy_Col_2,Random_Column_3
Alexandria and Fredericksburg Railway,,RF&P,1872,1890,Baltimore and Potomac Railroad,,,jXHAmer,wfe18Ba
Alexandria and Washington Railroad,,RF&P,1854,1872,Alexandria and Fredericksburg Railway,,,FxBrs,tfSyt
Baltimore and Ohio Railroad,"B&O, BO",B&O,1831,1987,Chesapeake and Ohio Railway,,,GqtXcIa,JDL4A
Baltimore and Potomac Railroad,,PRR,1867,1902,"Philadelphia, Baltimore and Washington Railroad",,,IRAaDQG,lvpoI
Chesapeake Beach Railway,,,1896,1935,East Washington Railway,,,wCbev,PurwhlSq
Chesapeake and Ohio Railway,"C&O, CO",C&O,1891,1987,CSX Transportation,,,QhfNf,m3QVac
Consolidated Rail Corporation,CR,,1976,1999,CSX Transportation/Norfolk Southern Railway,,,fZttt,LwPbJuh
East Washington Railway,,,1935,1976,N/A,,,zGolaDR,SxbiBf
"Georgetown Barge, Dock, Elevator and Railway Company",,B&O,1888,1972,Baltimore and Ohio Railroad,,,GqUortFQ,azcSA7
"Orange, Alexandria and Manassas Railroad",,SOU,1872,1872,Virginia and North Carolina Railroad,,,wUeIqR,yXgjfZ8k
