No. inSeries,No. inSeason,Title,Directed by,Written by,Original air date,Prod. code,Irrelevant_1,Random_Column_2
68,1,"\You Can Go Home Again\""""",Jeff McCracken,Mark Blutman & Howard Busgang,"September 20, 1996",B720,mGT8uom,CH2EP
69,2,\Hair Today," Goon Tomorrow\""""",Jeff McCracken,Susan Estelle Jansen,"September 27, 1996",k5vgEuV,eYGEgHp
70,3,"\I Ain't Gonna Spray Lettuce No More\""""",Jeff McCracken,Mark Blutman & Howard Busgang,"October 4, 1996",B722,L79MRId8,HPgmH
71,4,"\Fishing For Virna\""""",Jeff McCracken,Matthew Nelson,"October 11, 1996",B723,jBGakTS,ohKet7SD
72,5,"\Shallow Boy\""""",Jeff McCracken,Jeff Sherman,"October 18, 1996",B724,nIH4wmHh,BvFDl
73,6,"\Janitor Dad\""""",Jeff McCracken,Jeff Menell,"October 25, 1996",B725,JYfuJ,p0sjPg
74,7,"\Singled Out\""""",Jeff McCracken,Steve Hibbert,"November 1, 1996",B727,J8EzuYZF,kHoqQm
75,8,"\Dangerous Secret\""""",Jeff McCracken,Jeff Sherman,"November 8, 1996",B726,Ii6GKf8,aegO6
76,9,"\Sixteen Candles and Four-Hundred-Pound Men\""""",Jeff McCracken,Matthew Nelson,"November 15, 1996",B728,OYqnyre,ZAek8UY
77,10,"\Turkey Day\""""",Jeff McCracken,Susan Estelle Jansen,"November 22, 1996",B729,34KOEU,6wfRa
78,11,"\An Affair to Forget\""""",Jeff McCracken,Story by: Eileen O'HareTeleplay by: Jeff Sherman,"November 29, 1996",B730,O23zHZ,q7sI2h
