Genre,Year,Title,Role,Episodes,Notes,Dummy_Col_1,Random_Column_2
Film,1995,Timepiece,Khris,,,CEGzi,f3lMgikg
TV series,1997,Nash Bridges,Reggie Harell,"\Dirty Tricks\""""",4 episodes total,PJdEs,Kg2Pinia
Film,1998,Around the Fire,Trace,,,LRzdYjE,aT5YkbHh
Short film,1999,King of the Bingo Game,Sonny,,,JcUrS,WXIoW
TV series,1999,Nash Bridges,HassamDesmond Kenner,"\Power Play\""",,aauforK,HCc7qZu
"\""Girl Trouble\""""",4 episodes total,,,,,zKypFh,s6DoXsh
Film,1999,True Crime,Wally Cartwright,,,NEgLpuh,C9u1zY3
TV series,2000,Nash Bridges,Trumpet Player,"\Skin Trade\""""",4 episodes total,QSEtaGft,sFJrRV4e
Film,2000,Desi's Looking for a New Girl,Mother,,,HpmCGAf,YkpRu
Film,2003,Kung Phooey!,Roy Lee,,,uXaLZFzi,EsEEHqW
TV series,2004,Law & Order,Ronald Gumer,"\Hands Free\""""",2 episodes total,cjwnrZ,LqerKE
Film,2006,Freedomland,Male Patient,,,EKBgU,SLGWukvf
TV series,2006,Law & Order: Criminal Intent,Sergeant Ev Sides,"\To the Bone\""""",2 episodes total,ARMxvth,hETwoi
