name,railway,series,maker,dates,drive,wheel arrangement,weight,power,notes
M1,Chesapeake and Ohio Railway (C&O),500-502,Baldwin Locomotive Works,1947–50,Steam Turbine Electric,2-C1-2-C1-B(4-8-0-4-8-4),428 t,"6,000 horsepower (4,474 kW)","Nicknamed \Sacred Cows\"". Sold back to Baldwin in 1950 and scrapped."""
Big Boy,Union Pacific,X4000-X4024,ALCO,1941-–44,Steam,4-8-8-4,548 t,"6,290 horsepower (4,690 kW)","Several on static display.No. 4014 is to be moved from Pomona, Calif., to Cheyenne, Wyo. for restoration."
XA Triplex,Virginian Railway,700,Baldwin,1916,Steam,2-8-8-8-4,383 t,"N/A, Tractive Effort: 199,560 lb simple; 166,600 lb compound",Rebuilt into separate locomotives
Challenger,Union Pacific,3985,ALCO,1936–43,Steam,4-6-6-4,485 t,"6,200 horsepower (4,623 kW)",Operates in excursion service; largest operational steam locomotive in 2007
GTEL 8500 'Big Blow',Union Pacific,"1-30 (control cab), 1B-30B (turbine unit)",General Electric,1958–61,Gas turbine-electric,C-C+C-C,425 t,"8,469 horsepower (6,315 kW) Over 10,000 hp at lower altitude and ambient temperatures.",Two preserved in museums. Most powerful internal combustion locomotive built.
EMD DDA40X,Union Pacific,6900-6947,Electro-Motive Division of General Motors,1969–71,Diesel-electric,D-D,244 t,"6,600 horsepower (4,922 kW)","One operational, several in museums; largest operational single-unit diesel locomotive and the most powerful"
SJ Dm3,Malmbanan,,ASEA,1953–71,Electric,1'D+D+D1',273 t,"9,655 horsepower (7,200 kW)","Highest continuous tractive effort when built, most powerful locomotive using jackshafts"
DB Class 103,,,,1970–73,Electric,Co'Co',114 t,"9,977 horsepower (7,440 kW)",
060-EA,Romanian Railways(CFR),001-1000,Electroputere Craiova,1970-91,Electric,Co'Co',120 t,"6,839 horsepower (5,100 kW)",Most powerful locomotive in 1970s; highest continuous tractive effort
060-EA Softronic Phoenix version,Romanian Railways (CFR) and Hungarian State Railways ( MÁV ),"001, 2001-2004",Softronic Craiova,2009–present,Electric,Co'Co',120 t,"8,851 horsepower (6,600 kW)",Most powerful locomotive with highest continuous tractive effort
Softronic TransMONTANA (060-EA version),Romanian Railways (CFR),1,Softronic Craiova,2010,Electric,Co'Co',120 t,"10,997 horsepower (8,200 kW)",
