Rank,Name,Nation(s),Born,Ascended,Years reigned
34.,Khalifa bin Zayed Al Nahyan,Abu Dhabi (United Arab Emirates),25 January 1945,3 November 2004,"9 years, 221 days"
35.,Albert II,Monaco,14 March 1958,6 April 2005,"9 years, 67 days"
36.,Abdullah,Saudi Arabia,1 August 1924,1 August 2005,"8 years, 315 days"
37.,Mohammed bin Rashid Al Maktoum,Dubai (United Arab Emirates),22 July 1949,4 January 2006,"8 years, 159 days"
38.,Sabah Al-Ahmad Al-Jaber Al-Sabah,Kuwait,16 June 1929,29 January 2006,"8 years, 134 days"
39.,Tuheitia Paki,Māori King (New Zealand),21 April 1955,21 August 2006,"7 years, 295 days"
40.,Jigme Khesar Namgyel Wangchuck,Bhutan,21 February 1980,15 December 2006,"7 years, 179 days"
41.,Kapiliele Faupala,Wallis Island (Uvea) (Wallis and Futuna),1940,25 June 2008,"5 years, 352 days"
42.,Tunku Muhriz,Negeri Sembilan (Malaysia),14 January 1948,29 December 2008,"5 years, 165 days"
43.,Saud bin Rashid Al Mu'alla,Umm al-Quwain (United Arab Emirates),1 October 1952,2 January 2009,"5 years, 161 days"
