Rank,Name,Nation(s),Born,Ascended,Years reigned,Extra_Data_1
44.,Charles Mumbere,Rwenzururu (Uganda),1953,19 October 2009,"4 years, 236 days",342
45.,Ibrahim Ismail,Johor (Malaysia),22 November 1958,22 January 2010,"4 years, 141 days",818
46.,Polikalepo Kolivai,Sigave (Wallis and Futuna),1939,7 July 2010,"3 years, 340 days",7
47.,Muhammad V,Kelantan (Malaysia),6 October 1969,13 September 2010,"3 years, 272 days",147
48.,Saud bin Saqr al Qasimi,Ras al-Khaimah (United Arab Emirates),10 February 1956,27 October 2010,"3 years, 228 days",904
49.,Tupou VI,Tonga,12 July 1959,18 March 2012,"2 years, 86 days",869
50.,Francis,Vatican City,17 December 1936,13 March 2013,"1 year, 91 days",340
51.,Willem-Alexander,Netherlands,27 April 1967,30 April 2013,"1 year, 43 days",675
52.,Tamim bin Hamad Al Thani,Qatar,3 June 1980,25 June 2013,"0 years, 352 days",48
53.,Philippe,Belgium,15 April 1960,21 July 2013,"0 years, 326 days",374
