Rank,Name,Nation(s),Born,Ascended,Years reigned
23.,Oyo Nyimba Kabamba Iguru Rukidi IV,Toro (Uganda),16 April 1992,13 September 1995,"18 years, 272 days"
24.,Mizan Zainal Abidin,Terengganu (Malaysia),22 January 1962,15 May 1998,"16 years, 28 days"
25.,Abdullah II,Jordan,30 January 1962,7 February 1999,"15 years, 125 days"
26.,Hamad bin Isa Al Khalifa,Bahrain,28 January 1950,6 March 1999,"15 years, 98 days"
27.,Otumfuo Nana Osei Tutu II,Ashanti people (Ghana),6 May 1950,26 April 1999,"15 years, 47 days"
28.,Paku Alam IX,Pakualaman (Indonesia),7 May 1938,26 May 1999,"15 years, 17 days"
29.,Mohammed VI,Morocco,21 August 1963,23 July 1999,"14 years, 324 days"
30.,Tuanku Syed Sirajuddin,Perlis (Malaysia),16 May 1943,17 April 2000,"14 years, 56 days"
31.,Henri,Luxembourg,16 April 1955,7 October 2000,"13 years, 248 days"
32.,Sharafuddin Idris Shah,Selangor (Malaysia),24 October 1945,21 November 2001,"12 years, 203 days"
33.,Norodom Sihamoni,Cambodia,14 May 1953,14 October 2004,"9 years, 241 days"
