Date,Opposition,Result,Score,Brazil scorers,Competition,Filler_1,Random_Column_2
"June 9, 1968",Uruguay,W,2-0,"Tostão, Sadi",Taça Rio Branco,yMOwX,goLkMa
"June 12, 1968",Uruguay,W,4-0,"Paulo Borges, Tostão, Jairzinho, Gérson",Taça Rio Branco,rmoVdc,LrecYT2
"June 16, 1968",West Germany,L,1-2,Tostão,International Friendly,ROIjPtq,pDEps
"June 20, 1968",Poland,W,6-3,"Rivelino (2), Jairzinho (2), Tostão, Natal",International Friendly,KLkiOt,OA8a7Ypk
"June 23, 1968",Czechoslovakia,L,2-3,"Natal, Carlos Alberto Torres",International Friendly,KjaYhld,Q9ICF
"June 25, 1968",Yugoslavia,W,2-0,"Carlos Alberto Torres, Tostão",International Friendly,ljHxnFL,tAfDWZsZ
"June 30, 1968",Portugal,W,2-0,"Rivelino, Tostão",International Friendly,bvCVZpn,nB8qgJc
"July 7, 1968",Mexico,W,2-0,Jairzinho (2),International Friendly,ogDgd,N6jwXnJ
"July 10, 1968",Mexico,L,1-2,Rivelino,International Friendly,fgBnmddL,k54PNMc
"July 14, 1968",Peru,W,4-3,"Natal, Jairzinho, Roberto Miranda, Carlos Alberto Torres",International Friendly,fIFTYg,PzWYCN
"July 17, 1968",Peru,W,4-0,"Rivelino, Gérson, Tostão, Jairzinho",International Friendly,QrBSTm,BOVn3Gru
