Date,Opposition,Result,Score,Brazil scorers,Competition
"July 25, 1968",Paraguay,W,4-0,"Pelé (2), Toninho Guerreiro, Eduardo",Taça Oswaldo Cruz
"July 28, 1968",Paraguay,L,0-1,-,Taça Oswaldo Cruz
"August 7, 1968",Argentina,W,4-1,"Waltencir, Roberto Miranda, Paulo César Caju, Jairzinho",International Friendly
"August 11, 1968",Argentina,W,3-2,"Evaldo, Rodrigues, Dirceu Lopes",International Friendly
"October 31, 1968",Mexico,L,1-2,Carlos Alberto Torres,International Friendly
"November 3, 1968",Mexico,W,2-1,"Pelé, Jairzinho",International Friendly
"November 6, 1968",FIFA XI,W,2-1,"Rivelino, Tostão",International Friendly (unofficial match)
"November 13, 1968",Coritiba,W,2-1,"Dirceu Lopes, Zé Carlos",International Friendly (unofficial match)
"December 14, 1968",West Germany,D,2-2,Eduardo (2),International Friendly
"December 17, 1968",Yugoslavia,D,3-3,"Carlos Alberto Torres, Pelé, Babá",International Friendly
"December 19, 1968",Yugoslavia,W,3-2,"Vaguinho, Amauri, Ronaldo",International Friendly
