Rank,Bib,Athlete,Country,Time,Deficit,Note
67,67,Zoya Zaviedieieva,Ukraine,3:38.21,+31.32,
68,65,Nina Broznić,Croatia,3:38.36,+31.47,
69,69,Lee Chae-Won,South Korea,3:38.59,+31.70,
70,74,Inga Dauškāne,Latvia,3:39.28,+32.39,
71,70,Vedrana Malec,Croatia,3:41.54,+34.65,
72,84,Jaqueline Mourão,Brazil,3:49.07,+45.18,
73,72,Sarah Young,United Kingdom,3:50.77,+46.88,
74,86,Irina Khodiakova,Kyrgyzstan,3:52.24,+48.35,
75,79,Vera Viczián,Hungary,3:54.40,+50.51,
76,82,Rosana Kiroska,Macedonia,3:55.96,+52.07,
77,75,Kristine Liepiņa,Latvia,3:57.70,+53.81,
