Rank,Bib,Athlete,Country,Time,Deficit,Note,Noise_Field_1
34,49,Triin Ojaste,Estonia,3:16.70,+12.81,,kWJKD
35,10,Gaia Vuerich,Italy,3:16.89,+13.00,,LnokcZ
36,41,Katerina Smutna,Austria,3:17.19,+13.30,,xqsbTXGP
37,26,Madoka Natsumi,Japan,3:17.89,+14.00,,CtOIBMGU
38,28,Pirjo Muranen,Finland,3:18.21,+14.32,,ckGCdAq
39,54,Elena Soboleva,Russia,3:19.55,+15.66,,iaidxLn
40,11,Elena Kolomina,Kazakhstan,3:20.17,+16.28,,PRmwkya
41,8,Oxana Yatskaya,Kazakhstan,3:20.31,+16.42,,QNion
42,51,Lucia Anger,Germany,3:20.55,+16.66,,zpSVToRq
43,46,Laurien Van Der Graf,Switzerland,3:20.66,+16.77,,JKzMSZa
44,6,Esther Bottomley,Australia,3:21.86,+17.97,,umUcx
