Rank,Bib,Athlete,Country,Time,Deficit,Note
45,53,Ida Sargent,United States,3:22.32,+18.43,
46,12,Elisa Brocard,Italy,3:22.52,+18.63,
47,2,Ewelina Marcisz,Poland,3:22.54,+18.65,
48,57,Tatjana Roshina,Kazakhstan,3:22.85,+18.96,
49,3,Agnieszka Szymańczak,Poland,3:23.48,+19.59,
50,14,Émilie Vina,France,3:23.97,+20.08,
51,56,Kateryna Grygorenko,Ukraine,3:24.63,+20.74,
52,60,Paulina Maciuszek,Poland,3:25.30,+21.41,
53,59,Rosamund Musgrave,United Kingdom,3:26.34,+22.45,
54,1,Anastasia Slonova,Kazakhstan,3:26.51,+22.62,
55,52,Eva Nývltová,Czech Republic,3:27.05,+23.16,
