Rank,Bib,Athlete,Country,Time,Deficit,Note,Dummy_Col_1,Irrelevant_2,Dummy_Col_3
23,44,Chandra Crawford,Canada,3:13.90,+10.01,Q,qVQQU,ZsvEeV,MNCzgRBt
24,9,Perianne Jones,Canada,3:13.95,+10.06,Q,xFBCv,vdWIaK,QKYlBNIV
25,22,Alena Procházková,Slovakia,3:14.64,+10.75,Q,nShgoNn,BHTvQrs,ZgImo
26,21,Anastasia Dotsenko,Russia,3:15.03,+11.14,Q,wUBINmd,OWQc59l1,fLhBP
27,33,Daria Gaiazova,Canada,3:15.10,+11.21,Q,CfGtJ,UpQvN,bNKjrJa
28,15,Sadie Bjornsen,United States,3:15.19,+11.30,Q,UmADOJW,sWchSzoE,KMLkKq
29,7,Jessica Diggins,United States,3:15.24,+11.35,Q,GWUcjYO,GBoP9G,OdqsrGr
30,31,Hanna Brodin,Sweden,3:15.54,+11.65,Q,fAkCI,nv67xXl,pNDcKOd
31,47,Aurore Jean,France,3:15.61,+11.72,,KKzik,fYyFcR,umjaTxLa
32,38,Natalya Korostelyova,Russia,3:15.83,+11.94,,mfOZzSoL,TUZkQPJo,Rmwbydqg
33,45,Anne Kyllönen,Finland,3:16.45,+12.56,,zrXpBpGx,WGQoW,MDaNdfJH
