Rank,Bib,Athlete,Country,Time,Deficit,Note
1,30,Marit Bjørgen,Norway,3:03.89,,Q
2,36,Charlotte Kalla,Sweden,3:05.39,+1.50,Q
3,19,Maiken Caspersen Falla,Norway,3:05.64,+1.75,Q
4,34,Astrid Uhrenholdt Jacobsen,Norway,3:07.31,+3.42,Q
5,29,Katja Višnar,Slovenia,3:07.64,+3.75,Q
6,32,Krista Lähteenmäki,Finland,3:07.90,+4.01,Q
7,18,Hanna Falk,Sweden,3:07.97,+4.08,Q
8,37,Laure Barthélémy,France,3:08.53,+4.64,Q
9,25,Kikkan Randall,United States,3:09.75,+5.86,Q
10,27,Magda Genuin,Italy,3:09.91,+6.02,Q
11,16,Arianna Follis,Italy,3:10.41,+6.52,Q
