Rank,Bib,Athlete,Country,Time,Deficit,Note
12,24,Celine Brun-Lie,Norway,3:10.45,+6.56,Q
13,35,Justyna Kowalczyk,Poland,3:10.49,+6.60,Q
14,23,Petra Majdič,Slovenia,3:11.13,+7.24,Q
14,20,Vesna Fabjan,Slovenia,3:11.13,+7.24,Q
16,43,Nicole Fessel,Germany,3:11.37,+7.48,Q
17,55,Silvana Bucher,Switzerland,3:12.24,+8.35,Q
18,50,Natalja Iljina,Russia,3:12.27,+8.38,Q
19,48,Alenka Čebašek,Slovenia,3:12.88,+8.99,Q
20,39,Denise Herrmann,Germany,3:13.32,+9.43,Q
21,40,Riikka Sarasoja,Finland,3:13.49,+9.60,Q
22,17,Ida Ingemarsdotter,Sweden,3:13.50,+9.61,Q
