Rank,Wrestler,No. of reigns,Combineddefenses,Combineddays,Dummy_Col_1
1,Keiji Mutoh,4,19,"1,238",tCssjdyu
2,Hiroshi Tanahashi,6,27,"1,237",YZprbh
3,Shinya Hashimoto,3,20,"1,052",DLZgNMm
4,Tatsumi Fujinami,6,13,785,hBXDA
5,Kensuke Sasaki,5,9,647,tDbldIcT
6,Yuji Nagata,2,12,570,gVRtIEBS
7,Kazuchika Okada†,2,10,556+,WJaukcd
8,Kazuyuki Fujita,3,3,478,JUIwJw
9,Big Van Vader,3,4,451,aiKtk
10,Shinsuke Nakamura,3,9,390,LIcyLjT
11,Riki Chōshū,3,5,383,pQgZMRK
12,Antonio Inoki,1,4,325,UtZoHJWy
13,Brock Lesnar,1,3,280,TjlIQz
