Rank,Wrestler,No. of reigns,Combined days,Dummy_Col_1,Irrelevant_2,Noise_Field_3
13,"Blue Demon, Jr.",1,505,soOicVZ,lBfqLd7,VFwDJ
14,Naoya Ogawa,2,469,uqCtTeQ,2hvf7,xFgNqNN
15,Terry Funk,1,424,nUzKQ,6htaOv6,ebdRbmzc
16,Dick Hutton,1,421,LTqtGNg,dlipImBC,bPbIdPNl
17,Rob Conway,1,294,aiiAyli,SpbVtlR,aleDZs
18,Christian Cage,2,245,FvZeDQFi,fKsgdz,lvHuFKtD
19,Whipper Billy Watson,1,239,YvzEGr,tDQ03,uirXN
20,Sting,2,216,CSQFEFh,cxDCv,XgblLC
21,A.J. Styles,3,196,jxugdHn,xieT20YV,kKYKbRm
22,Mike Rapada,2,176,kMGNl,9sxs6c37,yqdcuyDR
23,Steve Corino,1,175,mdZnS,mgtlav,eFxPFM
24,Colt Cabana,2,152,PaZvDMTI,rkRQQ,OyNfNRqy
