Team,Car(s),#,Driver(s),Primary Sponsor(s),Listed Owner(s),Crew Chief
HVP Motorsports,Chevrolet Monte Carlo,63,Chuck Bown,Exxon Superflo,Hubert Hensley,Jeff Hensley
Innovative Motorsports,Chevrolet Monte Carlo,47,Andy Santerre,Monro Muffler Brake,George DeBidart,Kevin Caldwell
Joe Gibbs Racing,Pontiac Grand Prix,18,Bobby Labonte,MBNA,Joe Gibbs,Bryant Frazier
Labonte Motorsports,Chevrolet Monte Carlo,44,Terry Labonte,Slim Jim,Kimberly Labonte,Eddie Lowery
NorthStar Motorsports,Chevrolet Monte Carlo,89,Jeff Fuller,Heritage Consumer Products,Meredith Ruark,Leon Fox
Parker Racing,Chevrolet Monte Carlo,72,Hermie Sadler,MGM Brakes,Ron Parker,Cal Northrup
PE2 Motorsports,Chevrolet Monte Carlo,45,Adam Petty (R),Spree,Kyle Petty,Lance Deiters
PRW Racing,Ford Taurus,77,Ed Berrier,Lear Corporation,Tony Hall,Jimmy Means
Phil Parsons Racing,Chevrolet Monte Carlo,10,Phil Parsons,Alltel,Marcia Parsons,Doug Taylor
Phoenix Racing,Chevrolet Monte Carlo,1,Randy LaJoie,Bob Evans Restaurants,James Finch,Marc Reno
Progressive Motorsports,Chevrolet Monte Carlo,32,Jeff Green,Kleenex,Greg Pollex,Harold Holly
Progressive Motorsports,Chevrolet Monte Carlo,57,Jason Keller,Fleming Team/IGA,Steve DeSouza,Steve Addington
