Team,Car(s),#,Driver(s),Primary Sponsor(s),Listed Owner(s),Crew Chief,Filler_1,Filler_2,Unused_3
Akins-Sutton Motorsports,Ford Taurus,38,"Glenn Allen, Jr.",Barbasol,Brad Akins,Dean Johnson,iPntTExs,rlySF,
Akins-Sutton Motorsports,Ford Taurus,98,Elton Sawyer,Lysol,Brad Akins,Ricky Viers,dJvuU,OawGAm,
AllCar Racing,Chevrolet Monte Carlo,22,Jimmy Kitchens,Air Jamaica Vacations,Dave Carroll,Todd Lohse,SAjnEq,vzbBBQW,
Andy Petree Racing,Chevrolet Monte Carlo,15,Ken Schrader,Oakwood Homes,Andy Petree,N/A,lNyPnvE,WyLyW,
BACE Motorsports,Chevrolet Monte Carlo,33,Jason Jarrett,Bayer/Alka-Seltzer,Barbara Baumgardner,Gary Cogswell,okRphi,zNAQtUHp,
BACE Motorsports,Chevrolet Monte Carlo,74,Tony Raines (R),n/a,Bill Baumgardner,Steve Bird,DXIebLA,NXvUtF,
Bill Davis Racing,Pontiac Grand Prix,93,Dave Blaney,Amoco,Gail Davis,Gil Martin,NtnZugj,OiwIHNG,
Brewco MotorsportsJ&J Racing,Chevrolet Monte Carlo,27,Casey Atwood,Castrol,Tammy Brewer,Kip McCord,obyojXt,bCYKZWR,
Brewco MotorsportsJ&J Racing,Chevrolet Monte Carlo,37,Kevin Grubb,Timber Wolf,Clarence Brewer,Terry Shirley,NhGkXxbp,IbRdqH,
Brewco MotorsportsJ&J Racing,Chevrolet Monte Carlo,99,Kevin Lepage,Red Man,Bill Papke,Dan Gibbs,BNpMmCW,SqxhL,
Buckshot Racing,Pontiac Grand Prix,00,Larry Pearson,Cheez-It,Billy Jones,Kenneth Campbell,rbtGSJ,BDTXn,
Cicci-Welliver Racing,Chevrolet Monte Carlo,34,Mike McLaughlin,Goulds Pumps,Frank Cicci,Jay Smith,jpeyn,HGnVbNZ,
