Team,Car(s),#,Driver(s),Primary Sponsor(s),Listed Owner(s),Crew Chief,Unused_1,Filler_2,Filler_3
Reiser Enterprises,Chevrolet Monte Carlo,17,Matt Kenseth,DeWalt Tools,Robbie Reiser,Robbie Reiser,,VykDi,YszgXJ
Roush Racing,Ford Taurus,9,Jeff Burton,Track Gear,Jack Roush,Tommy Morgan,,BsvWs,jKOLpqG
Roush Racing,Ford Taurus,60,Mark Martin,Winn-Dixie,Jack Roush,Tony Lambert,,XFAiyh,kydoQp
Sadler Brothers Racing,Chevrolet Monte Carlo,95,"Bobby Hamilton, Jr. (R)",Shoney's Inn,Earl Sadler,Chick Sadler,,zbrAZ,yqPilmq
Specialty Racing,Chevrolet Monte Carlo,40,Kerry Earnhardt (R),Channellock,Doug Taylor,Richard Lasater,,YYurI,GeomByJ
Spencer Motor Ventures,Chevrolet Monte Carlo,5,Dick Trickle,Schneider National,Jimmy Spencer,Bryan Schaffer,,dZdOm,oaPQqO
ST Motorsports,Chevrolet Monte Carlo,59,Mike Dillon,Kingsford,Tad Geschickter,Steve Plattenberger,,KByCbXfC,zzjhtz
Team Amick,Chevrolet Monte Carlo,35,Lyndon Amick,SCANA/Powertel,Bill Amick,Buddy Barnes,,WhinsxP,MfMphh
Team Rensi Motorsports,Chevrolet Monte Carlo,25,Jeff Finley,Dura Lube,Ed Rensi,David Ifft,,vWLRfMxJ,MyyKFmXd
Team Yellow Racing,Chevrolet Monte Carlo,19,Mike Skinner,Yellow Freight,David Ridling,C. R. Miller,,PWaIHRs,EeyDPf
Washington-Erving Motorsports,Chevrolet Monte Carlo,50,Mark Green,Dr Pepper,Joe Washington,Darrell Bryant,,IAzkhr,WTBxVNa
Xpress Motorsports,Pontiac Grand Prix,61,Derrike Cope,IWX Motor Freight,Steve Coulter,Dave Fuge,,rHmvs,RDJJBXpR
