District,Representative,Party,Residence,Counties Represented,Filler_1,Extra_Data_2,Dummy_Col_3
1,Ogden Driskill,Republican,Devils Tower,"Converse, Crook, Goshen, Niobrara, Weston",XyweIu,839,JuguCxK
2,Jim Anderson,Republican,Glenrock,"Converse, Platte",EZSgwh,446,VRmPvywV
3,Curt Meier,Republican,LaGrange,"Goshen, Platte",ezKJul,957,bDLzB
4,Tony Ross,Republican,Cheyenne,Laramie,XVVjGh,985,tQdqx
5,Fred Emerich,Republican,Cheyenne,Laramie,sBXmvKeu,570,jQKuXO
6,Wayne Johnson,Republican,Cheyenne,Laramie,JhSuCSXA,878,fzLYMfvC
7,Leslie Nutting,Republican,Cheyenne,Laramie,vyLEX,934,CInjFJa
8,Floyd Esquibel,Democratic,Cheyenne,Laramie,lAZTnT,850,LcyPjqf
9,Chris Rothfuss,Democratic,Laramie,Albany,IAPVIZav,601,qMwOlq
10,Phil Nicholas,Republican,Laramie,Albany,osFRAPsq,70,rkEgyEmB
