District,Representative,Party,Residence,Counties Represented
21,Bruce Burns,Republican,Sheridan,Sheridan
22,John Schiffer,Republican,Kaycee,"Sheridan, Johnson"
23,John Hines,Republican,Gillette,Campbell
24,Michael Von Flatern,Republican,Gillette,Campbell
25,Cale Case,Republican,Lander,Fremont
26,Eli Bebout,Republican,Riverton,Fremont
27,Bill Landen,Republican,Casper,Natrona
28,James Lee Anderson,Republican,Casper,Natrona
29,Drew Perkins,Republican,Casper,Natrona
30,Charles Scott,Republican,Casper,Natrona
