Call Sign,Frequency,City of License,Licensee,Format
KPRN,89.5 FM,Grand Junction,"Public Broadcasting of Colorado, Inc.",Public/News/Talk
KTMM,1340 AM,Grand Junction,"MBC Grand Broadcasting, Inc.",Sports/Talk
KAAI,98.5 FM,"Palisade, Colorado",Educational Media Foundation,Christian Rock
KMZK (FM),106.9 FM,Clifton,Charles D. Hall,
KEKB,99.9 FM,Fruita,Townsquare Media Group,Country
KRZX,106.1 FM,Redlands,Cochise Media Licenses LLC,
KZKS,105.3 FM,"Rifle, Colorado",Western Slope Communications,Classic Hits
KNOZ,97.7 FM,Orchard Mesa,Paul Varecha,All-News Radio
KTUN,93.5 FM,"New Castle, Colorado",Wildcat Communications,Spanish Hits
KKNN,95.1 FM,"Delta, Colorado",Townsquare Media Group,Active Rock
KSTR-FM,96.1 FM,"Montrose, Colorado",MBC Grand Broadcasting,Classic Rock
KUBC,580 AM,"Montrose, Colorado",Cherry Creek Radio,News/Talk
