Year,Competition,Venue,Position,Event,Notes
2002,Paris Marathon,"Paris, France",2nd,Marathon,2:08:53
2002,European Championships,"Munich, Germany",2nd,Marathon,2:13:18
2002,Fukuoka Marathon,"Fukuoka, Japan",4th,Marathon,2:10:14
2003,JoongAng Seoul Marathon,"Seoul, South Korea",1st,Marathon,2:09:15
2004,Summer Olympics,"Athens, Greece",26th,Marathon,2:18:09
2004,JoongAng Seoul Marathon,"Seoul, South Korea",1st,Marathon,2:09:34
2005,JoongAng Seoul Marathon,"Seoul, South Korea",4th,Marathon,2:12:12
2006,Paris Marathon,"Paris, France",12th,Marathon,2:11:25
2007,World Championships,"Osaka, Japan",—,Marathon,DNF
2007,Beppu-Ōita Marathon,"Beppu-Ōita, Japan",8th,Marathon,2:14:49
2008,Summer Olympics,"Beijing, China",75th,Marathon,2:39:01
