#,Date,Winner,Score,Location,Notes
68,"January 24, 1993",East,31-17,"Stanford, CA",
69,"January 15, 1994",West,29-28,"Stanford, CA",
70,"January 14, 1995",West,30-28,"Stanford, CA",
71,"January 13, 1996",West,34-18,"Stanford, CA",
72,"January 11, 1997",East,17-13,"Stanford, CA",
73,"January 10, 1998",West,24-7,"Stanford, CA",
74,"January 16, 1999",East,20-10,"Stanford, CA",
75,"January 15, 2000",East,35-21,"Stanford, CA",
76,"January 13, 2001",West,20-10,"San Francisco, CA",
77,"January 12, 2002",West,21-13,"San Francisco, CA",
78,"January 11, 2003",East,20-17,"San Francisco, CA",
