#,Date,Winner,Score,Location,Notes
57,"January 9, 1982",West,20-13,"Stanford, CA",
58,"January 15, 1983",East,26-25,"Stanford, CA",
59,"January 7, 1984",East,27-19,"Stanford, CA",
60,"January 5, 1985",West,21-10,"Stanford, CA",
61,"January 11, 1986",East,18-7,"Stanford, CA",
62,"January 10, 1987",West,24-21,"Stanford, CA",
63,"January 16, 1988",West,16-13,"Stanford, CA",
64,"January 15, 1989",East,24-6,"Stanford, CA",
65,"January 21, 1990",West,22-21,"Stanford, CA",
66,"January 26, 1991",West,24-21,"Stanford, CA",
67,"January 19, 1992",West,14-6,"Stanford, CA",
