Seriesnumber,Key,Composed,Published,Opus No.,Brown,Kobylańska,Chominski,Dedication,Notes
–,"G, B♭",1826,1826,–,B. 16,KK IIa/2-3,S 1/2,,Revised versions (original versions were published in 1875)
1–4,"F♯m, C♯m, E, E♭m",1830,1832,Op. 6,B. 60,,C. 51–54,Countess Pauline Plater,
5–9,"B♭, Am, Fm, A♭m, C",1830–31,1832,Op. 7,B. 61,,C. 55–59,M. Johns de la Nouvelle-Orléans,Nos. 2 and 4 are revised versions; the original version of No. 4 was published in 1902
10–13,"B♭, Em, A♭, Am",1832–33,1834,Op. 17,B. 77,,C. 60–63,Mlle. Lina Freppa,
14–17,"Gm, C, A♭, B♭m",1834–35,1836,Op. 24,B. 89,,C. 64–67,Comte de Perthuis,
18–21,"Cm, Bm, D♭, C♯m",1836–37,1837,Op. 30,B. 105,,C. 65–71,Princess Maria Czartoryska de Württemburg,
22–25,"G♯m, D, C, Bm",1837–38,1838,Op. 33,B. 115,,C. 72–75,Countess Roza Mostowska,
27,Em,1838 (28 November),1840,Op. 41/2,B. 122,,C. 77,,
"26,28–29","C♯m, B, A♭",1839 (July),1840,"Op. 41/1, 3–4",B. 126,,"C. 76, 78–79",Étienne Witwicki,
50,Am,1840 (summer),1841,–,B. 134,KK IIb/4,S 2/4,,"Notre temps; in \Six Morceaux de salon\"""""
