Seriesnumber,Key,Composed,Published,Opus No.,Brown,Kobylańska,Chominski,Dedication,Notes
–,D,1820 (?),1910 (20 February),–,B. 4,KK Anh. Ia/1,A 1/1,,"\Mazurek\""; doubtful"""
–,A♭,1834 (July),1930,–,B. 85,KK IVb/4,,,
–,?,"\early\""""",–,–,–,KK Vf,,,"\Several mazurkas\""; lost"""
–,D,1826 (?),–,–,–,KK Ve/5,,,Mentioned in literature; MS unknown
–,G,1829 (22 August),?,–,–,–,,,Setting of a poem by Ignac Maciejowski
–,?,1832,–,–,,KK Vc/2,,,Mentioned in a letter from Chopin dated 10 September 1832
–,?,1832 (14 September),–,–,,KK Ve/7,,,"Listed in an auction catalogue, Paris, 1906"
–,B♭,1835,–,–,,KK Ve/4,,,"MS sold in Paris, 20 June 1977"
–,?,1846 (by December),–,–,–,KK Vc/4,,,Mentioned in a letter from Chopin
–,"A, Dm",?,–,–,–,KK VIIb/7-8,,,Allegretto and Mazurka; MS sold Paris 21 November 1974
–,B♭m,?,–,–,–,KK Anh. Ib,,,Doubtful
–,?,?,–,–,–,KK Ve/8,,,Mentioned in 1878 correspondence between Breitkopf & Hartel and Izabela Barczinska
–,?,?,–,–,–,KK Ve/6,,Mme Nicolai,Mentioned in a note from Augener to C.A. Spina 21 May 1884
