Seriesnumber,Key,Composed,Published,Opus No.,Brown,Kobylańska,Chominski,Dedication,Notes
36–38,"Am, A♭, F♯m",1845 (June–July),1846,Op. 59,B. 157,,C. 86–88,,
39–41,"B, Fm, C♯m",1846 (early autumn),1847,Op. 63,B. 162,,C. 89–91,Countess Laura Czosnowska,
"42, 44","G, C",1835,1855,"Op. posth. 67/1, 3",B. 93,,"C. 92, 94",Anna Mlokosiewicz,
45,Am,1846,1855,Op. posth. 67/4,B. 163,,C. 95,,
43,Gm,1849 (summer),1855,Op. posth. 67/2,B. 167,,C. 93,,
47,Am,1827,1855,Op. posth. 68/2,B. 18,,C. 97,,
48,F,1829,1855,Op. posth. 68/3,B. 34,,C. 98,,Quotes the folk tune \Oj
46,C,1829,1855,Op. posth. 68/1,B. 38,,C. 96,,
49,Fm,1849 (summer),1855,Op. posth. 68/4,B. 168,,C. 99,,"\Chopin's last composition\""; first published in an incomplete form 1855"""
–,C,1833,1870,–,B. 82,KK IVb/3,P 2/3,,
–,D,1829,1875,–,B. 31,KK IVa/7,P 1/7,,"Heavily revised 1832 (see B. 71, KK IVb/2; rev. vers. pub. 1880)"
–,D,1832,1880,–,B. 71,KK IVb/2,P 1/7,,"A heavily revised version of B.31, KK IVa/7"
–,B♭,1832 (24 June),1909,–,B. 73,KK IVb/1,P 2/1,Alexandrine Wolowska,
