Date,Opponent,Venue,Result,Attendance,Scorers
9 March 1999,Huddersfield Town,H,2-2,"6,034","Cook, Beauchamp"
13 March 1999,Watford,H,0-0,"8,137",
20 March 1999,Crewe Alexandra,A,1-3,"4,791",Thomson
26 March 1999,Sheffield United,A,2-1,"14,115","Thomson, Banger"
3 April 1999,Bolton Wanderers,H,0-0,"7,547",
5 April 1999,Tranmere Rovers,A,2-2,"7,837","Weatherstone, Gilchrist"
10 April 1999,Bury,H,0-1,"6,358",
17 April 1999,Port Vale,A,0-1,"7,393",
24 April 1999,Norwich City,H,2-4,"7,345","Wilsterman, Francis"
1 May 1999,Bradford City,A,0-0,"15,064",
9 May 1999,Stockport County,H,5-0,"6,830","Gilchrist, Powell, Beauchamp, Murphy, Thomson"
