Date,Opponent,Venue,Result,Attendance,Scorers,Extra_Data_1,Unused_2,Unused_3
10 October 1998,Tranmere Rovers,H,1-2,"5,862",Windass,833,,
17 October 1998,Bolton Wanderers,A,1-1,"17,064",Thomson,702,,
20 October 1998,Bury,A,0-1,"3,436",,462,,
24 October 1998,Sheffield United,H,0-2,"6,586",,306,,
31 October 1998,Crewe Alexandra,H,1-1,"5,607",Windass,816,,
7 November 1998,Watford,A,0-2,"10,137",,861,,
14 November 1998,Birmingham City,A,1-0,"18,216",Murphy,843,,
21 November 1998,Port Vale,H,2-1,"5,964","Windass (pen), Powell",359,,
29 November 1998,Norwich City,A,3-1,"17,851","Wilsterman, Windass, Thomson",47,,
5 December 1998,Bradford City,H,0-1,"5,969",,135,,
12 December 1998,Birmingham City,H,1-7,"7,189",Windass,435,,
19 December 1998,Stockport County,A,0-2,"6,500",,392,,
