Pos,Driver,Entrant,Constructor,Time/Retired,Grid,Random_Column_1,Filler_2,Extra_Data_3
13,Innes Ireland,British Racing Partnership,Lotus-BRM,Oil pressure (56 laps),5,NPhQz9,CSMmN,624
14,Bernard Collomb,Bernard Collomb,Lotus-Climax,Oil pressure (46 laps),19,cZAUo,shawAL,143
Ret,Ian Raby,Ian Raby (Racing),Gilby-BRM,Ignition,13,lxHTltdG,ttcYCYYn,408
Ret,Dan Gurney,Brabham Racing Organisation,Brabham-Climax,Oil leak,16,ROuqA2y,TbVjbnz,900
Ret,Mike Beckwith,British Racing Partnership,Lotus-BRM,Accident,17,br5bSkY,vtpkhe,283
Ret,Masten Gregory,Tim Parnell,Lotus-BRM,Cam follower,14,uWFsG9D,AMYytRq,793
Ret,Trevor Taylor,Team Lotus,Lotus-Climax,Crownwheel & pinion,4,QIikNIs,prWaG,297
Ret,Jo Bonnier,Rob Walker Racing Team,Cooper-Climax,Oil pressure,8,yq8vSof,QgHpID,381
Ret,Tony Settember,Scirocco-Powell (Racing Cars),Scirocco-BRM,Valve gear,22,Ap2JW,LtsENR,495
Ret,Bob Anderson,DW Racing Enterprises,Lola-Climax,Gearbox,10,6QWAA,kUqCJ,446
WD,Peter Arundell,Team Lotus,Lotus-Climax,Car not ready,-,UQAqo,EEfEUC,644
