Sum,Mongolian,Population(2005),Population(2008),Population(2009),Areakm²,Density/km²,Sum centrepopulation
Battsengel,Батцэнгэл,"3,818","3,855","3,846","3,500",1.10,"1,096"
Bulgan,Булган,"2,285","2,361","2,434","3,100",0.79,961
Chuluut,Чулуут,"3,943","3,749","3,744","3,900",0.96,935
Erdenebulgan*,Эрдэнэбулган,"17,790","18,022","17,770",536,33.15,"17,770"
Erdenemandal,Эрдэнэмандал,"6,099","5,843","5,933","3,400",1.74,"1,091"
Ikh-Tamir,Их тамир,"5,714","5,154","5,247","4,800",1.09,"1,050"
Jargalant,Жаргалант,"4,089","4,114","4,111","3,832",1.07,"1,035"
Khairkhan,Хайрхан,"3,756","3,558","3,656","2,500",1.46,739
Khangai,Хангай,"3,054","2,805","2,926","4,400",0.66,795
Khashaat,Хашаат,"3,594","3,305","3,344","2,600",1.29,802
