Year,Title,Role,Notes,Unused_1,Random_Column_2,Irrelevant_3
1991,The Doors,Okie Girl,Uncredited,,4NwNVA6,yf5MLj
1991,Scorchers,Talbot,,,zYG779,ZsRFr
1992,Shadow of the Wolf,Igiyook,,,BzCILVn,jn7aQ
1993,Made in America,Stacy,,,O5wAnTcW,yL1lemCp
1994,Double Cross,Melissa,,,PvnVxSS,c188EMoP
1994,Bullets Over Broadway,Olive Neal,,,YNKraA,54tQEoJp
1994,Embrace of the Vampire,Marika,,,ZDm8n49,L4nXatZe
1994,The Getaway,Fran Carvey,,,10bOTv3U,bYHiuWT
1995,Bird of Prey,Kily Griffith,,,nKUccc,tLV5PjC
1995,Man with a Gun,Rena Rushton/Kathy Payne,,,DMrfGzG,SIpKSggN
1996,The Pompatus of Love,Tarzaan,,,rPoRTjM,loObXfu
