Name,Full name,Caps,Goals,First cap,Opponent,Club
Rômulo,Rômulo Borges Monteiro,8,0,28 September 2011,Argentina,Vasco da Gama
Bruno Cortês,Bruno Cortês Barbosa,1,0,28 September 2011,Argentina,Botafogo
Borges,Humberlito Borges Teixeira,1,0,28 September 2011,Argentina,Santos
Fabio,Fábio Pereira Da Silva,2,0,7 October 2011,Costa Rica,Manchester United
Diego Alves,Diego Alves Carreira,7,0,10 November 2011,Gabon,FC Valencia
Alex Sandro,Alex Sandro Lobo Silva,6,0,10 November 2011,Gabon,FC Porto
Willian,Willian Borges da Silva,2,0,10 November 2011,Gabon,Shakhtar Donetsk
Bruno César,Bruno César Zanaki,2,0,10 November 2011,Gabon,Benfica
Dudu,Eduardo Pereira Rodrigues,2,0,10 November 2011,Gabon,Dynamo Kyiv
Kléber,Kléber Laude Pinheiro,2,0,10 November 2011,Gabon,FC Porto
Rafael,Rafael Cabral Barbosa,3,0,30 May 2012,United States,Santos
Gabriel,Gabriel Vasconcelos Ferreira,1,0,15 August 2012,Sweden,AC Milan
Lucas,Lucas Rios Marques,2,0,19 September 2012,Argentina,Botafogo
Fernando,Fernando Lucas Martins,7,0,11 October 2012,Iraq,Grêmio
