Name,Full name,Caps,Goals,First cap,Opponent,Club,Unused_1
André Santos,André Clarindo dos Santos,24,0,15 June 2009,Egypt,Corinthians,
Diego Tardelli,Diego Tardelli Martins,5,0,12 August 2009,Estonia,Atletico Mineiro,
Sandro,Sandro Raniere Guimarães Cordeiro,17,1,9 September 2009,Chile,Internacional,
Diego Souza,Diego de Souza Andrade,2,0,11 October 2009,Bolivia,Palmeiras,
Filipe Luis,Filipe Luís Kasmirski,4,0,14 October 2009,Venezuela,Deportivo de La Coruña,
Hulk,Givanildo Vieira de Souza,27,6,14 November 2009,England,FC Porto,
Michel Bastos,Michel Fernandes Bastos,10,1,14 November 2009,England,Lyon,
Carlos Eduardo,Carlos Eduardo Marques,6,0,14 November 2009,England,Hoffenheim,
Fábio Simplício,Fábio Henrique Simplício,1,0,17 November 2009,Oman,Palermo,
Neymar,Neymar da Silva Santos Júnior,44,27,10 August 2010,United States,Santos,
David Luiz,David Luiz Moreira Marinho,27,0,10 August 2010,United States,Benfica,
Ganso,Paulo Henrique Chagas de Lima,8,0,10 August 2010,United States,Santos,
Victor,Victor Leandro Bagy,5,0,10 August 2010,United States,Grêmio,
André,André Felipe Ribeiro de Souza,4,0,10 August 2010,United States,Dynamo Kyiv,
