Name,Full name,Caps,Goals,First cap,Opponent,Club,Irrelevant_1
Jucilei,Jucilei da Silva,2,0,10 August 2010,United States,Corinthians,zINmYu2T
Ederson,Ederson Honorato Campos,1,0,10 August 2010,United States,Lyon,jucI9WjH
Elías,Elías Mendes Trindade,13,0,3 October 2010,Iran,Corinthians,Y46zBN0e
Réver,Réver Humberto Alves de Araújo,8,1,3 October 2010,Iran,Atlético Mineiro,2XaYc
Giuliano,Giuliano Victor de Paula,8,0,3 October 2010,Iran,Internacional,lsyVBDXJ
Wesley,Wesley Lopes Beltrame,2,0,3 October 2010,Iran,Werder Bremen,F0DjPf
Coutinho,Philippe Coutinho Correia,1,0,3 October 2010,Iran,Inter Milan,dKoZ0
Douglas,Douglas dos Santos,1,0,17 November 2010,Argentina,Grêmio,89RyT
Jádson,Jádson Rodrigues da Silva,8,1,9 February 2011,France,Shakhtar Donetsk,60dlR
Renato Augusto,Renato Soares de Oliveira Augusto,3,0,9 February 2011,France,Bayer Leverkusen,p4WvnOUH
Lucas,Lucas Rodrigues Moura da Silva,25,4,27 March 2011,Scotland,São Paulo,AT0brt
Leandro Damião,Leandro Damião da Silva dos Santos,17,3,27 March 2011,Scotland,Internacional,gehDEg
Jonas,Jonas Gonçalves Oliveira,8,2,27 March 2011,Scotland,FC Valencia,vUeL0X3Y
Juan Jesus,Juan Guilherme Nunes Jesus,4,0,26 May 2011,Denmark,Inter Milan,NHFbD
