Name,Full name,Caps,Goals,First cap,Opponent,Club,Filler_1,Irrelevant_2
Nilmar,Nilmar Honorato da Silva,24,9,13 July 2003,Mexico,Internacional,othabwi,uG8PYw
Alex,Alex Rodrigo Dias da Costa,18,0,13 July 2003,Mexico,Santos,jJdFEQ,JhNST
Adriano,Adriano Correia Claro,17,0,13 July 2003,Mexico,Coritiba,eFyXt,9Apubr
Gomes,Heurelho da Silva Gomes,11,0,13 July 2003,Mexico,Cruzeiro,nrTxDM,q8ZfyT
Mancini,Alessandro Faiolhe Amantino,6,0,28 April 2004,Hungary,AS Roma,YAeGyAEb,udGddqS
Edu Dracena,Eduardo Luis Abonízio de Souza,3,0,20 May 2004,France,Cruzeiro,VVXrU,cC2wef
Júlio César,Júlio César Soares de Espíndola,74,0,8 July 2004,Chile,Flamengo,Iztanp,Cs5VkpSp
Ricardo Oliveira,Ricardo Oliveira,11,3,8 July 2004,Chile,Valencia FC,XWFMJCu,nymGsk
Dudu Cearense,Alexandro Silva de Sousa,11,0,8 July 2004,Chile,Vitoria,UxeMglzL,m7uY2
Gustavo Nery,Gustavo Nery de Sá da Silva,10,0,8 July 2004,Chile,São Paulo,gHepJ,6o6Vgf1
Vagner Love,Vágner Silva de Souza,22,4,11 July 2004,Costa Rica,Palmeiras,DxeGptOg,GiCkbL
Elano,Elano Ralph Blumer,50,9,13 October 2004,Colombia,Santos,SWlgO,G3gQcf
Fred,Frederico Chaves Guedes,30,16,27 April 2005,Guatemala,Cruzeiro,nNbPb,N43LUyk0
Cicinho,Cícero João de Cézare,15,1,27 April 2005,Guatemala,São Paulo,MwzzE,z8xhnidT
