Name,Full name,Caps,Goals,First cap,Opponent,Club
Leandro Castan,Leandro Castán da Silva,2,0,16 October 2012,Japan,AS Roma
Bernard,Bernard Anicio Caldeira Duarte,5,0,21 November 2012,Argentina,Atlético Mineiro
Jean,Jean Raphael Vanderlei Moreira,5,0,21 November 2012,Argentina,Fluminense
Fábio Santos,Fábio Santos Romeu,3,0,21 November 2012,Argentina,Corinthians
Diego Cavalieri,Diego Cavalieri,2,0,21 November 2012,Argentina,Fluminense
Carlinhos,Carlos Andrade Souza,1,0,21 November 2012,Argentina,Fluminense
Durval,Severino dos Ramos Durval da Silva,1,0,21 November 2012,Argentina,Santos
Dante,Dante Bonfim Costa Santos,5,1,6 February 2013,England,Bayern Munich
Diego Costa,Diego Da Silva Costa,2,0,21 March 2013,Italy,Atletico Madrid
Osvaldo,Osvaldo Lourenço Filho,2,0,6 April 2013,Bolivia,São Paulo
Leandro,Weverson Leandro Oliveira Moura,1,1,6 April 2013,Bolivia,Palmeiras
Dória,Matheus Dória Macedo,1,0,6 April 2013,Bolivia,Botafogo
Marcos Rocha,Marcos Luis Rocha Aquino,1,0,24 April 2013,Chile,Atlético Mineiro
