Name,Full name,Caps,Goals,First cap,Opponent,Club
Wellington Nem,Wellington Nem,3,0,26 May 2011,Denmark,Fluminense
Bruno Uvini,Bruno Uvini Bortolança,3,0,26 May 2011,Denmark,São Paulo
Rafael,Rafael Pereira Da Silva,2,0,26 May 2011,Denmark,Manchester United
Luiz Gustavo,Luis Gustavo Dias,10,0,10 August 2011,Germany,Bayern Munich
Ralf,Ralf de Souza Teles,8,0,10 August 2011,Germany,Corinthians
Fernandinho,Fernando Luiz Rosa,5,0,10 August 2011,Germany,Shakhtar Donetsk
Arouca,Marcos Arouca da Silva,4,0,7 September 2011,South Africa,Santos
Oscar,Oscar dos Santos Emboaba Júnior,22,6,14 September 2011,Argentina,Internacional
Paulinho,José Paulo Bezerra Maciel Júnior,17,5,14 September 2011,Argentina,Corinthians
Dédé,Anderson Vital da Silva,8,0,14 September 2011,Argentina,Vasco da Gama
Jefferson,Jefferson de Oliveira Galvão,7,0,14 September 2011,Argentina,Botafogo
Danilo,Danilo Luiz da Silva,6,0,14 September 2011,Argentina,Santos
Casemiro,Carlos Henrique Casimiro,5,0,14 September 2011,Argentina,São Paulo
Renato Abreu,Carlos Renato de Abreu,1,0,14 September 2011,Argentina,Flamengo
