Name,Full name,Caps,Goals,First cap,Opponent,Club
Cafu,Marcos Evangelista de Moraes,142,5,12 September 1990,Spain,São Paulo
Roberto Carlos,Roberto Carlos da Silva Rocha,125,11,26 February 1992,United States,União São João
Ronaldo,Ronaldo Luís Nazário de Lima,98,62,23 March 1994,Argentina,Cruzeiro
Dida,Nélson de Jesus Silva,91,0,7 July 1995,Ecuador,Cruzeiro
Zé Roberto,José Roberto da Silva Júnior,84,6,12 August 1995,South Korea,Portuguesa
Emerson,Émerson Ferreira da Rosa,73,6,10 September 1997,Ecuador,Bayer Leverkusen
Rogério Ceni,Rogério Ceni,17,0,16 December 1997,Mexico,São Paulo
Juninho,Antônio Augusto Ribeiro Reis Júnior,40,6,28 March 1999,South Korea,Vasco da Gama
Ronaldinho,Ronaldo de Assis Moreira,97,33,26 June 1999,Latvia,Grêmio
Ricardinho,Ricardo Luiz Pozzi Rodrigues,23,1,28 March 2000,Colombia,Corinthians
Edmilson,Edmílson José Gomes de Moraes,42,1,18 July 2000,Paraguay,São Paulo
Lucio,Lucimar Ferreira da Silva,105,5,15 November 2000,Colombia,Internacional
Adriano,Adriano Leite Ribeiro,48,27,15 November 2000,Colombia,Flamengo
Mineiro,Carlos Luciano da Silva,24,0,25 April 2001,Peru,Ponte Preta
