Name,Full name,Caps,Goals,First cap,Opponent,Club
Júlio Baptista,Júlio César Baptista,47,5,14 June 2001,Japan,São Paulo
Cris,Cristiano Marques Gomes,17,1,1 July 2001,Uruguay,Cruzeiro
Juan,Juan Silveira dos Santos,79,7,15 July 2001,Peru,Flamengo
Luisão,Ânderson Luís da Silva,44,1,23 July 2001,Honduras,Cruzeiro
Tinga,Paulo César Fonseca do Nascimento,4,0,9 August 2001,Panama,Grêmio
Gilberto Silva,Gilberto Aparecido da Silva,93,3,7 November 2001,Bolivia,Atletico Mineiro
Kaká,Ricardo Izecson dos Santos Leite,87,29,31 January 2002,Bolivia,São Paulo
Kléberson,José Kléberson Pereira,32,2,31 January 2002,Bolivia,Atletico Paranaense
Kléber,Kléber de Carvalho Corrêa,21,1,31 January 2002,Bolivia,Corinthians
Diego,Diego Ribas da Cunha,33,4,30 April 2003,Mexico,Santos
Luis Fabiano,Luís Fabiano Clemente,45,28,11 June 2003,Nigeria,São Paulo
Gilberto,Gilberto da Silva Melo',35,1,11 June 2003,Nigeria,Grêmio
Robinho,Róbson de Souza,90,26,13 July 2003,Mexico,Santos
Maicon,Maicon Douglas Sisenando,66,6,13 July 2003,Mexico,Cruzeiro
