Name,Full name,Caps,Goals,First cap,Opponent,Club
Alex Silva,Alex Sandro da Silva,2,0,4 July 2007,Ecuador,São Paulo
Lucas Leiva,Lucas Pezzini Leiva,21,0,22 August 2007,Algeria,Grêmio
Richarlyson,Richarlyson Barbosa Felisbino,2,0,6 February 2008,Republic of Ireland,São Paulo
Leonardo Moura,Leonardo da Silva Moura,1,0,6 February 2008,Republic of Ireland,Flamengo
Alexandre Pato,Alexandre Rodrigues da Silva,24,9,26 March 2008,Sweden,AC Milan
Hernanes,Anderson Hernanes de Carvalho Andrade Lima,17,2,26 March 2008,Sweden,São Paulo
Thiago Neves,Thiago Neves Augusto,7,0,26 March 2008,Sweden,Fluminense
Rafinha,Márcio Rafael Ferreira de Souza,1,0,26 March 2008,Sweden,Schalke 04
Henrique,Henrique Adriano Buss,2,0,6 June 2008,Wales,Palmeiras
Thiago Silva,Thiago Emiliano da Silva,40,1,12 October 2008,Venezuela,Fluminense
Alex,Alexandre Raphael Meschini,4,0,12 October 2008,Venezuela,Internacional
Felipe Melo,Felipe Melo de Carvalho,22,2,10 February 2009,Italy,Fiorentina
Joao Miranda,João Miranda de Souza Filho,7,0,1 April 2009,Peru,São Paulo
Ramires,Ramires Santos do Nascimento,34,3,6 June 2009,Uruguay,Cruzeiro
