Province,Capital,Area (km²),Population,Density,Dummy_Col_1,Random_Column_2,Unused_3
Independencia,Jimaní,"2,006.44","74,583",37,LTKpP,KaWVwmx,
La Altagracia,Higüey,"3,010.34","372,289",124,bzFikI,GIxpDqY,
La Romana,La Romana,653.95,"344,580",527,qdEHgoFq,FctQ3p3d,
La Vega,Concepción de La Vega,"2,287.24","447,905",196,WTFfdW,cQyQY,
María Trinidad Sánchez,Nagua,"1,271.71","195,886",154,XjIbYCsK,zRLIl,
Monseñor Nouel,Bonao,992.39,"203,183",205,USnQyCwa,aj036hv5,
Monte Cristi,Monte Cristi,"1,924.35","150,833",78,KGURRUi,IRMzI,
Monte Plata,Monte Plata,"2,632.14","222,641",85,jxLrOz,oE7WvC,
Pedernales,Pedernales,"2,074.53","52,165",25,pjocY,Jl4bh20n,
Peravia,Baní,792.33,"217,241",274,hiyHGS,v0bNYfY,
Puerto Plata,Puerto Plata,"1,852.90","498,232",269,GCbTLR,ENLMSfAm,
