Province,Capital,Area (km²),Population,Density,Filler_1,Extra_Data_2,Filler_3
Azua,Azua,"2,531.77","298,246",118,ZMepWLt,428,LvrPt
Bahoruco,Neiba,"1,282.23","111,269",87,oHuTLKq,724,fkNeMsD
Barahona,Barahona,"1,739.38","232,818",134,hJkAFU,101,aipeJl
Dajabón,Dajabón,"1,020.73","87,274",86,TDelqG,224,pYWoI
Distrito Nacional,Santo Domingo,104.44,"1,402,749","13,431",qPcWljcN,894,HWxrKt
Duarte,San Francisco de Macorís,"1,605.35","338,649",211,NfhDaTbD,864,aaupu
El Seibo,El Seibo,"1,786.80","110,212",62,nspUmcJB,912,VpEuqbVC
Elías Piña,Comendador,"1,426.20","84,632",59,RXFAMSg,130,slefTp
Espaillat,Moca,838.62,"333,401",398,fFrBwvIM,198,sHRxc
Hato Mayor,Hato Mayor,"1,329.29","103,032",78,nyPcPKY,743,QvpnkN
Hermanas Mirabal,Salcedo,440.43,"121,887",277,QNnmli,91,rYLyPt
