Round,Opponent,Result,Bro.,Opp.,Date,Venue,Crowd,Position
1,Auckland Warriors,Win,14,2,1 Mar,ANZ Stadium,"42,361",2/10
2,Adelaide Rams,Win,28,12,9 Mar,ANZ Stadium,"16,279",1/10
3,Perth Reds,Win,26,16,16 Mar,WACA Ground,"11,109",2/10
4,Canberra Raiders,Win,24,8,24 Mar,ANZ Stadium,"26,103",2/10
5,Cronulla Sharks,Win,14,12,31 Mar,ANZ Stadium,"17,294",1/10
6,North Queensland Cowboys,Win,42,16,5 Apr,Stockland Stadium,"30,122",1/10
7,Adelaide Rams,Win,20,10,13 Apr,Adelaide Oval,"17,633",1/10
8,Penrith Panthers,Loss,26,27,21 Apr,Penrith Football Stadium,"12,648",1/10
9,Canterbury Bulldogs,Win,34,16,28 Apr,ANZ Stadium,"17,921",1/10
10,Auckland Warriors,Win,34,18,4 May,Mt Smart Stadium,"16,471",1/10
