Name,Elected Party,Constituency,Elected date,Military service
Charles Gavan Power,Liberal,Quebec South,"December 17, 1917",Canadian Army (1915-1918)
"Francis \Frank\"" Gavan Power""",Liberal,Quebec South,"September 26, 1955",Canadian Army
Russ Powers,Liberal,Ancaster--Dundas--Flamborough--Westdale,"June 28, 2004",Canadian Forces Land Force Command
Robert John Pratt,Progressive Conservative,Jacques Cartier—Lasalle,"June 10, 1957","Canadian Army (-1942), Royal Canadian Navy (-1946)"
David Price,Progressive Conservative,Compton—Stanstead,"June 2, 1997",Canadian Army (1959-1965)
William Price,Conservative,Quebec West,"October 26, 1908",Canadian Army
Edward Gawler Prior,Conservative,Victoria,"January 23, 1888",Canadian Army
Robert William Prittie,New Democratic,Burnaby—Richmond,"June 18, 1962",Royal Canadian Air Force (1938-1945)
John Oliver Probe,Cooperative Commonwealth Federation,Regina City,"June 11, 1945",Canadian Army (1941-1944)
David Vaughan Pugh,Progressive Conservative,Okanagan Boundary,"March 31, 1958",Canadian Army
