Name,Elected Party,Constituency,Elected date,Military service
John Pallett,Progressive Conservative,Peel,"March 22, 1954",Canadian Army (1942-1946)
Roger Parizeau,Progressive Conservative,Lac-Saint-Jean,"March 31, 1958",Canadian Army (1939-1945)
William Albert Patterson,Conservative,Colchester,"March 5, 1891",Militia
William Hector Payne,Progressive Conservative,Coast—Capilano,"March 31, 1958",Canadian Army (1941-1945)
George Randolph Pearkes,Progressive Conservative,Nanaimo,"June 11, 1945",Canadian Army (1915-1945)
Lester Bowles Pearson,Liberal,Algoma East,"October 25, 1948","Canadian Army (1914-1917), Royal Flying Corps (1917-1918)"
Cyrus Wesley Peck,Unionist,Skeena,"December 17, 1917",Canadian Army (1914-1925)
Charles Alphonse Pantaléon Pelletier,Liberal,Kamouraska,"February 17, 1869",Militia
Irénée Pelletier,Liberal,Sherbrooke,"October 30, 1972",Royal Canadian Air Force (1960-1962)
Louis-Philippe Pelletier,Conservative,Quebec County,"September 21, 1911",Militia
Lawrence T. Pennell,Liberal,Brant—Haldimand,"June 18, 1962",Royal Canadian Air Force
