Name,Elected Party,Constituency,Elected date,Military service,Dummy_Col_1
Robert Pennock,Progressive Conservative,Etobicoke North,"September 4, 1984","Canadian Army (1951-1952), Royal Canadian Navy (1954-1968)",ggqrnFEA
Arnold Peters,Cooperative Commonwealth Federation,Timiskaming,"June 10, 1957",Royal Canadian Air Force (1942-1945),VbgZHRVo
Orville H. Phillips,Progressive Conservative,Prince,"June 10, 1957",Royal Canadian Air Force (1942-1945),pnoqrvjJ
Elmore Philpott,Liberal,Vancouver South,"August 10, 1953",Canadian Army (1915-1919),TeNxCk
Bernard Pilon,Liberal,Chambly—Rouville,"June 18, 1962",Canadian Army (1941-1945),HGiEl
Alfred Pinsonneault,Conservative,Laprairie,"September 20, 1867",Militia (1855-1862),UpgpUE
D'Arcy Britton Plunkett,Conservative,Victoria,"December 6, 1928",Royal Flying Corps,DTAXyXK
William Albert Pommer,Liberal,Lisgar,"August 10, 1953",Canadian Army,LrGJs
John Henry Pope,Liberal-Conservative,Compton,"September 20, 1867",Militia,bpLMX
John Poupore,Conservative,Pontiac,"September 17, 1878",Militia (1869-),RUvbk
