Town/Village,Population,Postal Code,Municipality,Island,Location
Skipanes,59,FO 665,Runavíkar,Eysturoy,62°10′6″N 6°45′40″W﻿ / ﻿62.16833°N 6.76111°W
Skopun,484,FO 240,Skopunar,Sandoy,61°54′11″N 6°52′29″W﻿ / ﻿61.90306°N 6.87472°W
Skúvoy,55,FO 260,Skývoyar,Skúvoy,61°46′27″N 6°48′17″W﻿ / ﻿61.77417°N 6.80472°W
Skælingur,11,FO 336,Kvívíkar,Streymoy,62°5′45″N 7°0′24″W﻿ / ﻿62.09583°N 7.00667°W
Stóra Dímun,10,FO 286,Skúvoyar,Stóra Dímun,61°41′50″N 6°45′5″W﻿ / ﻿61.69722°N 6.75139°W
Strendur,817,FO 490,Sjóvar,Eysturoy,62°6′46″N 6°45′23″W﻿ / ﻿62.11278°N 6.75639°W
Streymnes,201,FO 435,Sunda,Streymoy,62°11′35″N 7°1′54″W﻿ / ﻿62.19306°N 7.03167°W
Strond,0,FO 726,Klaksvíkar,Borðoy,62°15′54″N 6°35′07″W﻿ / ﻿62.26500°N 6.58528°W
Stykkið,42,FO 330,Kvívíkar,Streymoy,62°7′0″N 7°2′52″W﻿ / ﻿62.11667°N 7.04778°W
Sumba,264,FO 970,Sumbiar,Suðuroy,61°24′21″N 6°42′19″W﻿ / ﻿61.40583°N 6.70528°W
Sund,3,FO 186,Tórshavnar,Streymoy,62°2′59″N 6°50′46″W﻿ / ﻿62.04972°N 6.84611°W
Svínáir,23,FO 465,Eiðis,Eysturoy,62°13′46″N 7°1′25″W﻿ / ﻿62.22944°N 7.02361°W
