Town/Village,Population,Postal Code,Municipality,Island,Location
Saltangará,830,FO 600,Runavíkar,Eysturoy,62°7′3″N 6°43′7″W﻿ / ﻿62.11750°N 6.71861°W
Saltnes,153,FO 656,Nes,Eysturoy,62°6′19″N 6°44′22″W﻿ / ﻿62.10528°N 6.73944°W
Sandavágur,744,FO 360,Sandavágs,Vágar,62°3′24″N 7°9′15″W﻿ / ﻿62.05667°N 7.15417°W
Sandur,596,FO 210,Sands,Sandoy,61°50′10″N 6°48′38″W﻿ / ﻿61.83611°N 6.81056°W
Sandvík,113,FO 860,Hvalbiar,Suðuroy,61°38′16″N 6°55′19″W﻿ / ﻿61.63778°N 6.92194°W
Selatrað,63,FO 497,Sjóvar,Eysturoy,62°9′31″N 6°52′41″W﻿ / ﻿62.15861°N 6.87806°W
Signabøur,157,FO 416,Tórshavnar,Streymoy,62°5′48″N 6°55′43″W﻿ / ﻿62.09667°N 6.92861°W
Skarvanes,5,FO 236,Húsavíkar,Sandoy,61°47′35″N 6°44′13″W﻿ / ﻿61.79306°N 6.73694°W
Skálabotnur,100,FO 485,Runavíkar,Eysturoy,62°11′52″N 6°50′59″W﻿ / ﻿62.19778°N 6.84972°W
Skálavík,99,FO 220,Skálavíkar,Sandoy,61°50′1″N 6°39′33″W﻿ / ﻿61.83361°N 6.65917°W
Skáli,182,FO 480,Runavíkar,Eysturoy,62°9′44″N 6°46′57″W﻿ / ﻿62.16222°N 6.78250°W
Skarð,0,FO 780,Kunoyar,Kunoy,62°19′27″N 6°39′9″W﻿ / ﻿62.32417°N 6.65250°W
