Town/Village,Population,Postal Code,Municipality,Island,Location
Hósvík,299,FO 420,Sunda,Streymoy,62°9′17″N 6°56′25″W﻿ / ﻿62.15472°N 6.94028°W
Húsar,54,FO 796,Húsar,Kalsoy,62°15′54″N 6°40′53″W﻿ / ﻿62.26500°N 6.68139°W
Húsavík,85,FO 230,Húsavíkar,Sandoy,61°48′38″N 6°40′35″W﻿ / ﻿61.81056°N 6.67639°W
Hvalba,663,FO 850,Hvalbiar,Suðuroy,61°36′7″N 6°56′58″W﻿ / ﻿61.60194°N 6.94944°W
Hvalvík,218,FO 430,Sunda,Streymoy,62°11′23″N 7°1′51″W﻿ / ﻿62.18972°N 7.03083°W
Hvannasund,268,FO 740,Hvannasunds,Viðoy,62°17′43″N 6°30′58″W﻿ / ﻿62.29528°N 6.51611°W
Hvítanes,97,FO 187,Tórshavnar,Streymoy,62°2′48″N 6°46′10″W﻿ / ﻿62.04667°N 6.76944°W
Innan Glyvur,81,FO 494,Sjóvar,Eysturoy,62°8′21″N 6°45′24″W﻿ / ﻿62.13917°N 6.75667°W
Kaldbak,218,FO 180,Tórshavnar,Streymoy,62°3′47″N 6°49′34″W﻿ / ﻿62.06306°N 6.82611°W
Kaldbaksbotnur,6,FO 185,Tórshavnar,Streymoy,62°3′58″N 6°54′45″W﻿ / ﻿62.06611°N 6.91250°W
Kirkja,28,FO 766,Fugloyar,Fugloy,62°19′10″N 6°18′51″W﻿ / ﻿62.31944°N 6.31417°W
Kirkjubøur,77,FO 175,Tórshavnar,Streymoy,61°57′22″N 6°47′37″W﻿ / ﻿61.95611°N 6.79361°W
Klaksvík,4681,FO 700,Klaksvíkar,Borðoy,62°13′26″N 6°34′43″W﻿ / ﻿62.22389°N 6.57861°W
