Town/Village,Population,Postal Code,Municipality,Island,Location
Miðvágur,1032,FO 370,Miðvágs,Vágar,62°3′4″N 7°11′38″W﻿ / ﻿62.05111°N 7.19389°W
Mikladalur,44,FO 797,Klaksvíkar,Kalsoy,62°20′9″N 6°45′50″W﻿ / ﻿62.33583°N 6.76389°W
Mjørkadalur,1,,Tórshavnar,Streymoy,62°3′0″N 6°58′0″W﻿ / ﻿62.05000°N 6.96667°W
Morskranes,45,FO 496,Sjóvar,Eysturoy,62°7′59″N 6°50′31″W﻿ / ﻿62.13306°N 6.84194°W
Múli,4,FO 737,Hvannasunds,Borðoy,62°21′10″N 6°34′47″W﻿ / ﻿62.35278°N 6.57972°W
Mykines,22,FO 388,Sørvágs,Mykines,62°6′15″N 7°38′46″W﻿ / ﻿62.10417°N 7.64611°W
"Nes, Eysturoy",230,FO 655,Nes,Eysturoy,62°4′47″N 6°43′28″W﻿ / ﻿62.07972°N 6.72444°W
"Nes, Vágur",30,FO 925,Vágs,Suðuroy,61°28′20″N 6°45′33″W﻿ / ﻿61.47222°N 6.75917°W
Nesvík,1,FO 437,Sunda,Streymoy,62°12′35″N 7°0′30″W﻿ / ﻿62.20972°N 7.00833°W
Nólsoy,256,FO 270,Tórshavnar,Nólsoy,62°0′33″N 6°40′7″W﻿ / ﻿62.00917°N 6.66861°W
Norðdepil,164,FO 730,Hvannasunds,Borðoy,62°17′51″N 6°31′32″W﻿ / ﻿62.29750°N 6.52556°W
Norðoyri,83,FO 725,Klaksvíkar,Borðoy,62°12′50″N 6°32′27″W﻿ / ﻿62.21389°N 6.54083°W
