Town/Village,Population,Postal Code,Municipality,Island,Location,Irrelevant_1,Unused_2
Funningur,83,FO 475,Funnings,Eysturoy,62°17′17″N 6°58′2″W﻿ / ﻿62.28806°N 6.96722°W,hZevbz,
Gásadalur,14,FO 387,Sørvágs,Vágar,62°6′44″N 7°26′5″W﻿ / ﻿62.11222°N 7.43472°W,5QiA8goP,
Gjógv,52,FO 476,Sunda,Eysturoy,62°19′30″N 6°56′28″W﻿ / ﻿62.32500°N 6.94111°W,LHKaa,
Glyvrar,421,FO 625,Runavíkar,Eysturoy,62°7′53″N 6°43′27″W﻿ / ﻿62.13139°N 6.72417°W,TtoBL,
Gøtueiði,39,FO 666,Gøtu,Eysturoy,62°10′30″N 6°46′19″W﻿ / ﻿62.17500°N 6.77194°W,yn704O,
Gøtugjógv,53,FO 511,Gøtu,Eysturoy,62°11′25″N 6°44′47″W﻿ / ﻿62.19028°N 6.74639°W,3hegl5,
Haldarsvík,164,FO 440,Sunda,Streymoy,62°16′37″N 7°5′25″W﻿ / ﻿62.27694°N 7.09028°W,5684ionj,
Haraldssund,74,FO 785,Kunoyar,Kunoy,62°16′20″N 6°36′7″W﻿ / ﻿62.27222°N 6.60194°W,qvpaoi,
Hattarvík,17,FO 767,Fugloyar,Fugloy,62°19′51″N 6°16′25″W﻿ / ﻿62.33083°N 6.27361°W,UVVLFD,
Hellur,26,FO 695,Fuglafjarðar,Eysturoy,62°15′49″N 6°50′40″W﻿ / ﻿62.26361°N 6.84444°W,zxZslUyl,
Hestur,39,FO 280,Tórshavnar,Hestur,61°57′27″N 6°53′13″W﻿ / ﻿61.95750°N 6.88694°W,Vy7kgg,
Hov,128,FO 960,Hovs,Suðuroy,61°30′30″N 6°45′29″W﻿ / ﻿61.50833°N 6.75806°W,6EnUUFI,
Hoyvík,2951,FO 188,Tórshavnar,Streymoy,62°1′32″N 6°45′32″W﻿ / ﻿62.02556°N 6.75889°W,lySPQ,
