Town/Village,Population,Postal Code,Municipality,Island,Location,Unused_1
Undir Gøtueiði,36,FO 666,Gøtu,Eysturoy,62°10′30″N 6°46′19″W﻿ / ﻿62.17500°N 6.77194°W,
Vatnsoyrar,56,FO 385,Miðvágs,Vágar,62°4′27″N 7°14′53″W﻿ / ﻿62.07417°N 7.24806°W,
Vágur,1402,FO 900,Vágs,Suðuroy,61°28′31″N 6°48′26″W﻿ / ﻿61.47528°N 6.80722°W,
Válur,55,FO 3585,Kvívíkar,Streymoy,62°09′22″N 7°09′59″W﻿ / ﻿62.15611°N 7.16639°W,
Velbastaður,164,FO 176,Tórshavnar,Streymoy,61°59′5″N 6°51′2″W﻿ / ﻿61.98472°N 6.85056°W,
Vestmanna,1251,FO 350,Vestmanna,Streymoy,62°9′23″N 7°9′59″W﻿ / ﻿62.15639°N 7.16639°W,
við Áir,0,FO 430,Hvalvík,Streymoy,62°10′26″N 6°58′29″W﻿ / ﻿62.17389°N 6.97472°W,
Viðareiði,342,FO 750,Viðareiðis,Viðoy,62°21′35″N 6°31′58″W﻿ / ﻿62.35972°N 6.53278°W,
Víkarbyrgi,0,FO 928,Sumbiar,Suðuroy,61°26′34″N 6°43′28″W﻿ / ﻿61.44278°N 6.72444°W,
Æðuvík,106,FO 645,Runavíkar,Eysturoy,62°4′11″N 6°41′24″W﻿ / ﻿62.06972°N 6.69000°W,
Øravík,38,FO 827,Tvøroyrar,Suðuroy,61°32′10″N 6°48′31″W﻿ / ﻿61.53611°N 6.80861°W,
Øravíkarlíð,67,FO 826/7,Tvøroyrar,Suðuroy,61°33′N 6°50′W﻿ / ﻿61.550°N 6.833°W,
