Town/Village,Population,Postal Code,Municipality,Island,Location,Irrelevant_1,Irrelevant_2
Norðradalur,17,FO 178,Tórshavnar,Streymoy,62°2′25″N 6°55′22″W﻿ / ﻿62.04028°N 6.92278°W,CooAu0q,yRBMaOCt
Norðragøta,575,FO 512,Gøtu,Eysturoy,62°12′3″N 6°44′27″W﻿ / ﻿62.20083°N 6.74083°W,xPb9ZJ9w,2SjqfW
Norðskáli,249,FO 460,Sunda,Eysturoy,62°12′47″N 6°59′59″W﻿ / ﻿62.21306°N 6.99972°W,9NjR13oA,eMxBvKuc
Norðtoftir,6,FO 736,Hvannasunds,Borðoy,62°16′38″N 6°30′49″W﻿ / ﻿62.27722°N 6.51361°W,1V1z2vzm,iTfKQF
Oyndarfjørður,180,FO 690,Runavíkar,Eysturoy,62°16′40″N 6°51′4″W﻿ / ﻿62.27778°N 6.85111°W,uS1GQ5,bcZLKKRY
Oyrarbakki,97,FO 400,Sunda,Eysturoy,62°12′5″N 6°59′40″W﻿ / ﻿62.20139°N 6.99444°W,wodeh,vVKgptXa
Oyrareingir,44,FO 415,Tórshavnar,Streymoy,62°6′19″N 6°57′41″W﻿ / ﻿62.10528°N 6.96139°W,CkNgG,88M3QJou
Oyri,142,FO 450,Sunda,Eysturoy,62°11′26″N 6°58′24″W﻿ / ﻿62.19056°N 6.97333°W,Uhl3Pvp,ttAY0Un
Porkeri,357,FO 950,Porkeris,Suðuroy,61°28′59″N 6°44′36″W﻿ / ﻿61.48306°N 6.74333°W,ELvEh7,5wuNq
Rituvík,271,FO 640,Runavíkar,Eysturoy,62°6′25″N 6°40′58″W﻿ / ﻿62.10694°N 6.68278°W,4VCOg0,F8jGT
Runavík,476,FO 620,Runavíkar,Eysturoy,62°6′34″N 6°43′9″W﻿ / ﻿62.10944°N 6.71917°W,DEtFDrG,7igx4GO
Saksun,33,FO 436,Sunda,Streymoy,62°14′56″N 7°10′33″W﻿ / ﻿62.24889°N 7.17583°W,d1yaL,TyYm1GR
