Town/Village,Population,Postal Code,Municipality,Island,Location
Svínoy,54,FO 765,Svínoyar,Svínoy,62°16′47″N 6°20′55″W﻿ / ﻿62.27972°N 6.34861°W
"Syðradalur, Kalsoy",5,FO 795,Húsa,Kalsoy,62°14′46″N 6°39′48″W﻿ / ﻿62.24611°N 6.66333°W
"Syðradalur, Streymoy",7,FO 177,Tórshavn,Streymoy,62°1′27″N 6°54′36″W﻿ / ﻿62.02417°N 6.91000°W
Syðrugøta,410,FO 513,Gøtu,Eysturoy,62°11′12″N 6°45′12″W﻿ / ﻿62.18667°N 6.75333°W
Søldarfjørður,348,FO 660,Runavíkar,Eysturoy,62°9′35″N 6°45′4″W﻿ / ﻿62.15972°N 6.75111°W
Sørvágur,974,FO 380,Sørvágs,Vágar,62°4′28″N 7°18′34″W﻿ / ﻿62.07444°N 7.30944°W
Tjørnuvík,70,FO 445,Sunda,Streymoy,62°17′17″N 7°8′27″W﻿ / ﻿62.28806°N 7.14083°W
Toftir,832,FO 650,Nes,Eysturoy,62°5′20″N 6°44′8″W﻿ / ﻿62.08889°N 6.73556°W
Tórshavn,12582,FO 100,Tórshavnar,Streymoy,62°0′42″N 6°46′3″W﻿ / ﻿62.01167°N 6.76750°W
Trongisvágur,410,FO 826,Tvøroyrar,Suðuroy,61°33′50″N 6°50′40″W﻿ / ﻿61.56389°N 6.84444°W
Trøllanes,23,FO 798,Klaksvíkar,Kalsoy,62°21′43″N 6°47′18″W﻿ / ﻿62.36194°N 6.78833°W
Tvøroyri,1170,FO 800,Tvøroyrar,Suðuroy,61°33′21″N 6°48′12″W﻿ / ﻿61.55583°N 6.80333°W
