Number/name,Wheel arrangement,Builder,Year,Disposition andLocation
11Menlo Park,4-4-0,Mason Machine Works,4/16/1870,To Southern Pacific #11. Unknown.
12Racer,,McK/A,7/1868,To Southern Pacific #12. Unknown.
13Shoshone,,Norris Locomotive Works,6/1867,To Southern Pacific #13. Unknown.
14Red Eagle,,Cooke Locomotive and Machine Works,7/1868,To Southern Pacific #14. Unknown.
15Black Deer,,McK/A,10/1867,To Southern Pacific #15. Unknown.
16Reindeer,,Schenectady Locomotive Works,11/1868,To Southern Pacific #1151. Unknown.
17Mohave,,Norris Locomotive Works,7/1860,To Southern Pacific #17. Unknown.
18Peeler,,Rhode Island Locomotive Works,11/1868,To Southern Pacific #18. Unknown.
19Raven,,Schenectady Locomotive Works,10/1868,To Southern Pacific #19. Unknown.
20,,Baldwin Locomotive Works,6/1872,To Southern Pacific #20. Unknown.
