Number/name,Wheel arrangement,Builder,Year,Disposition andLocation,Unused_1,Random_Column_2
1San Francisco,4-4-0,Norris Locomotive Works,1862,"To Southern Pacific #2, #1109. Unknown.",,eM9Hwz3
2San Jose,4-4-0,Norris Locomotive Works,1862,To SF&NP as Little Josie. To Northwestern Pacific Railroad #1. Retired in 1921.,,6tO0NTgG
3T. Dame,4-4-0,Norris Locomotive Works,,"To Southern Pacific #3, #1110. Unknown.",,MFUeTzQ
4A.H. Houston,4-4-0,Cooke Locomotive and Machine Works,11/1863,To Southern Pacific #4. Unknown.,,1A5i2K
5Chas. McLaughlin,4-4-0,Cooke Locomotive and Machine Works,,To Southern Pacific #5. Unknown.,,sawvw
6California,4-4-0,H. J. Booth at Union Iron Works,7/1865,"To Southern Pacific #6, #1303. Rebuilt 1873. Scrapped in 1911.",,uLfafmgj
7Atlantic,4-4-0,H.J. Booth at Union Iron Works,1865,"To Southern Pacific #7, #1231, scrapped in 1895.",,hqAOD0a
8Union,0-4-0,H.J. Booth at Union Iron Works,6/1867,"To Southern Pacific #8, #1002. Unknown.",,8G5Xdxw
9Donahue,4-4-0,Cooke Locomotive and Machine Works,4/1870,To Southern Pacific #9. Unknown.,,lqcQXswy
10Newhall,,,,To Southern Pacific #10. Unknown.,,ZuCvX
