Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak,Random_Column_1,Unused_2,Irrelevant_3
13 February 1994,4,"\Let the Beat Control Your Body\""""",2 Unlimited,6,27 February 1994,1,hL0fid0b,,mSEvcpzQ
20 February 1994,2,"\Stay Together\""""",Suede,3,20 February 1994,1,1daNpviJ,,cvu8m3vF
20 February 1994,9,"\The Sign\""""",Ace of Base,2,27 February 1994,3,Fz4Qunq,,SF1wB9
27 February 1994,1,"\Don't Go Breaking My Heart\""""",Elton John and RuPaul,7,27 February 1994,1,IAtGVy2,,MOAZbvjh
6 March 1994,6,"\Doop\"" (#10)""",Doop,1,13 March 1994,3,mKmrYEIo,,zWrfWn
6 March 1994,2,"\Renaissance\""""",M People,5,6 March 1994,1,JV4Zf,,BkMkeKpx
6 March 1994,1,"\Rocks\"" / \""Funky Jam\""""",Primal Scream,7,6 March 1994,1,HwaTkg1D,,PQ6KN2
6 March 1994,1,\The More You Ignore Me," The Closer I Get\""""",Morrissey,8,6 March 1994,mDzfK,,7rxCXWd6
13 March 1994,7,"\Streets of Philadelphia\""""",Bruce Springsteen,2,27 March 1994,1,IbF69NJ,,Iv70Yr
13 March 1994,2,"\Girls & Boys\""""",Blur,5,13 March 1994,1,o1ouQ,,UK6OR
13 March 1994,1,"\Pretty Good Year\""""",Tori Amos,7,13 March 1994,1,ReirSx,,24uCw
20 March 1994,4,"\U R The Best Thing\""""",D:Ream,4,27 March 1994,,CRl79j,,Z0kUNHF
20 March 1994,3,"\Whatta Man\""""",Salt-N-Pepa with En Vogue,7,20 March 1994,1,8T71W,,2Li5rp
