Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak
1 May 1994,2,"\Light My Fire\""""",Clubhouse featuring Carl,7,1 May 1994,1
1 May 1994,7,"\Come on You Reds\""""",Manchester United Football Squad featuring Status Quo,1,15 May 1994,2
8 May 1994,5,"\Around the World\""""",East 17,3,15 May 1994,2
8 May 1994,3,"\Just a Step from Heaven\""""",Eternal,8,15 May 1994,1
15 May 1994,20,"\Love Is All Around\"" (#1)""",Wet Wet Wet,1,29 May 1994,15
15 May 1994,3,"\The Real Thing\""""",2 Unlimited,6,22 May 1994,1
15 May 1994,2,"\More to This World\""""",Bad Boys Inc,8,22 May 1994,1
22 May 1994,5,"\Get-A-Way\""""",Maxx,4,29 May 1994,2
22 May 1994,6,"\No Good (Start the Dance)\""""",The Prodigy,4,12 June 1994,1
29 May 1994,7,\Baby," I Love Your Way\""""",Big Mountain,2,5 June 1994
29 May 1994,1,"\Carry Me Home\""""",Gloworm,9,29 May 1994,1
5 June 1994,3,"\Absolutely Fabulous\""""",Absolutely Fabulous,6,12 June 1994,1
5 June 1994,5,\You Don't Love Me (No, No," No)\""""",Dawn Penn,3
