Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak
9 October 1994,3,"\Sure\""""",Take That,1,9 October 1994,2
16 October 1994,1,"\Cigarettes & Alcohol\""""",Oasis,7,16 October 1994,1
16 October 1994,4,"\Welcome to Tomorrow (Are You Ready?)\""""",Snap! featuring Summer,6,30 October 1994,1
16 October 1994,5,"\She's Got That Vibe\""""",R. Kelly,3,6 November 1994,1
23 October 1994,1,"\When We Dance\""""",Sting,9,23 October 1994,1
30 October 1994,4,"\Oh Baby I...\""""",Eternal,4,6 November 1994,1
30 October 1994,2,"\Some Girls\""""",Ultimate Kaos,9,30 October 1994,1
6 November 1994,5,"\Another Night\""""",MC Sar and Real McCoy,2,13 November 1994,1
6 November 1994,4,"\All I Wanna Do\""""",Sheryl Crow,4,20 November 1994,1
13 November 1994,5,"\Let Me Be Your Fantasy\""""",Baby D,1,20 November 1994,2
13 November 1994,3,"\Sight for Sore Eyes\""""",M People,6,20 November 1994,1
13 November 1994,1,"\True Faith '94\""""",New Order,9,13 November 1994,1
20 November 1994,6,"\We Have All the Time in the World\""""",Louis Armstrong,3,27 November 1994,1
